statename,rank,hs6,abbrevation,val2013,val2014,val2015,val2016
Arkansas,6,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NE",125.95,130.56,70.47,80.51
Arkansas,7,854430,INSULATED WIRING SETS FOR VEHICLES SHIPS AIRC,5.6,2.78,2.48,76.42
Arkansas,8,940510,CHANDELIER CEILNG/WALL LGHTNG FTTNG EX PUBLIC,56.93,61.01,62.27,71.98
Arkansas,9,854370,"ELEC MACH AND APP, HAVING INDIV FUNCTIONS, NE",13.4,18.81,44.39,66.25
Arkansas,10,846729,"TOOLS FOR WK IN  HAND,W/ SELF-CONT ELEC MOTOR",24.38,30.73,60.91,64.7
Arkansas,11,940520,ELECTRIC TABLE DESK BEDSIDE OR FLOOR-STANDING,40.65,47.39,58.66,61.35
Arkansas,12,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,142.93,141.15,104.79,60.15
Arkansas,13,870120,ROAD TRACTORS FOR SEMI-TRAILERS,62.38,120.46,178.13,58.66
Arkansas,14,630260,TOILET & KITCHEN LINEN OF COTTON TERRY FABRIC,49.11,46.38,52.2,55.71
Arkansas,15,846722,"SAWS W/ SELF-CONT. ELECTIRIC MOTORS, FOR WK I",31.07,55.69,67.12,55.7
Arkansas,16,854442,"ELEC CONDUCTORS, LT=1000 V, W/ CONNECTORS, NE",14.73,27.05,25.81,55.44
Arkansas,17,950510,ART F CHRISTMAS FESTIVITIES AND PTS & ACCESSO,36.45,35.11,35.63,54.21
Arkansas,18,630790,"MADE-UP TEXTILE ARTICLES, NESOI",29.99,24.35,27.29,53.62
Arkansas,19,940360,"WOODEN FURNITURE, NESOI",50.94,53.12,56.92,48.51
Arkansas,20,847989,MACH & MECHANICAL APPL W INDIVIDUAL FUNCTION,28.87,38.09,47.73,48.43
Arkansas,21,940540,"ELECTRIC LAMPS AND LIGHTING FITTINGS, NESOI",23.39,31.16,21.42,48.39
Arkansas,22,930200,"REVOLVERS & PISTOLS, DESIGNED TO FIRE LIVE AM",49.54,36.75,31.63,47.64
Arkansas,23,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,62.54,70.76,54.73,47.59
Arkansas,24,840790,"SPARK-IGNTN RCPRCTNG/ROTARY INT COMBSTN ENG,",37.06,56.47,38.45,47.09
Arkansas,25,392490,HOUSEHOLD AND TOILET ARTICLES NESOI OF PLASTI,28.45,32.18,37.5,46.14
California,0,0,World,381068.95,403808.04,408247.06,410182.75
California,0,25,Top 25,178802.21,189501.39,191466.49,193068.51
California,1,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,31779.93,34024.5,38976.92,44068.92
California,2,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,18618.09,17082.31,15915.95,17405.5
California,3,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,8989.68,12022.54,14608.14,16062.42
California,4,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,15085.75,15788.62,16170.84,14845.67
California,5,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,29515.52,29206.98,16150.33,12445.48
California,6,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,11512.3,12589.39,14856.97,11997.23
California,7,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",5792.35,8491.81,10999.35,9996.35
California,8,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,7218.27,8538.38,8440.44,7053.18
California,9,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,2770.29,3189.43,4275.06,5246.45
California,10,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NE",6811.35,6967.6,7125.4,4921.85
California,11,870322,"PASS MTR VEH,SPARK IGN ENG, >1000CC BUT =<150",2295.42,2816.42,3425.87,4855.53
California,12,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",6171.18,6068.2,5826.41,4846.28
California,13,950300,"TRICYCLE, SCOOTR, PEDAL CAR & SIM WHEELED TYS",3645.02,3939.91,4355.66,4609.55
California,14,852351,SOLID-STATE NON-VOL SEMICONDUCTOR STORAGE DEV,1903.46,2939.92,3557.15,3993.61
California,15,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",2632.83,2819.38,3945.01,3898.15
California,16,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",1612.12,1288.96,1956.47,3491.55
California,17,844399,"PTS & ACC OF PRINTERS, COPIERS AND FAX MACH,",4105.69,3529.29,3350.66,3427.22
California,18,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,5156.28,4141.48,2088.63,3306.42
California,19,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",2058.63,2728.55,3033.7,3105.86
California,20,870431,"MTR VEH TRANS GDS SPK IG IN C P ENG, GVW NOV",1644.1,2004.06,2351.72,2864.16
California,21,844331,"MACH WHICH PERFORM 2-PLUS OF PRINT, COPY, FAX",2927.1,2689.05,2602.07,2401.78
California,22,850440,STATIC CONVERTERS; ADP POWER SUPPLIES,2040.07,2343.47,2368.79,2254.51
California,23,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",1674.93,1673.79,1921.74,2074.42
California,24,852859,"MONITORS, NOT INCORP TELEVISION RECEP APP, NE",1023.06,1072.09,1249.09,2030.1
California,25,852580,"TELEVISION CAMERA, DIGITL CAMRA & VID CAM REC",1818.82,1545.26,1914.11,1866.32
Colorado,0,0,World,12820.8,14260.39,13509.1,12225.47
Colorado,0,25,Top 25,5981.04,6344.77,5373.77,5211.32
Colorado,1,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,2711.62,2784.95,1765.13,1329.23
Colorado,2,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",393.98,610.78,584.61,404.85
Colorado,3,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",298.24,398.22,441.98,368.44
Colorado,4,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",75.46,43.95,36.03,350.62
Colorado,5,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",264.52,268.15,336.09,270.41
Colorado,6,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",170.79,194.56,250.51,215.14
Colorado,7,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",310.15,297.74,254.56,208.48
Colorado,8,392690,"ARTICLES OF PLASTICS, NESOI",44.42,50.36,53.74,167.53
Colorado,9,902140,HEARING AIDS,179.8,112.09,68.45,165.69
Colorado,10,841290,"ENGINE AND MOTOR PARTS, NESOI",30.25,88.12,155.13,165.41
Colorado,11,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",68.43,81.09,72.43,155.44
Colorado,12,902110,"ORTHOPEDIC OR FRACTRE APPLIANCES, PARTS & ACC",115.57,121.79,130.62,142.33
Colorado,13,852550,TRANSMISSION APP FOR RADIO-BROADCAST OR TELEV,102.46,125.67,100.88,139.16
Colorado,14,850440,STATIC CONVERTERS; ADP POWER SUPPLIES,100.6,122.66,151.3,118.96
Colorado,15,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,73.23,69.78,119.38,115.12
Colorado,16,902190,OTH ARTIFICAL PTS OF THE BODY & PTS & ACCESSO,35.95,102.59,164.35,109.01
Colorado,17,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T",53.34,67.71,66.48,107.1
Colorado,18,481019,"PPR/PBRD,WRIT/PRINT, CLAY CTD, <10%MECH FBS,",117.5,122.06,134.9,103.57
Colorado,19,300410,"PENICILLINS OR STREPTOMYCINS & DERV, DOSAGE F",95.27,97.29,87.5,96.58
Colorado,20,852871,RECEPTION APP FOR TV NT DESIGNED TO INC VIDEO,272.2,217.83,110.88,87.36
Colorado,21,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,184.2,128.62,84.87,86.52
Colorado,22,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,92.46,89.7,64.68,82.28
Colorado,23,940161,"SEATS W WOODEN FRAMES, UPHOLSTERED, NESOI",86.1,61.64,67.64,74.62
Colorado,24,441012,"ORIENTED STRAND BOARD (OSB), OF WOOD",83.21,70.5,58.87,74.16
Colorado,25,850710,LEAD-ACID BATTERIES OF A KIND USED FOR STG EN,21.28,16.92,12.75,73.31
Connecticut,0,0,World,21563.73,23918.78,25967.88,21319.13
Connecticut,0,25,Top 25,8941.17,10183.17,12604.87,8855.09
Connecticut,1,841191,TURBOJET AND TURBOPROLLER PARTS,2095.63,2368,2153.52,1559.24
Connecticut,2,293499,NUCLEIC ACIDS & SALTS; OTHER HETEROCYCLIC CMP,11.24,312.15,3379.76,1341.86
Connecticut,3,710691,"SILVER, UNWROUGHT NESOI",0.02,1055.96,976.71,1023.22
Connecticut,4,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",140.61,179.88,594.22,676.71
Connecticut,5,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",830.7,542.83,562.33,495.47
Connecticut,6,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",1179.77,967.06,517.65,402.45
Connecticut,7,760110,"UNWROUGHT ALUMINUM, NOT ALLOYED",125.45,394.72,191.13,393.56
Connecticut,8,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",469.58,474.94,331.23,299.17
Connecticut,9,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,1441.63,499.35,706.77,280.74
Connecticut,10,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",1070.92,1368.44,1263.24,270.8
Connecticut,11,711319,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS ME",305.75,303.67,174.99,260.19
Connecticut,12,790111,ZINC UNWRT NT ALY CNT WGT AT LST 99.99 PERCNT,100.16,195.26,197.22,201.5
Connecticut,13,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI",13.95,182.51,190.22,196.62
Connecticut,14,940161,"SEATS W WOODEN FRAMES, UPHOLSTERED, NESOI",83.23,89.95,107.03,164.4
Connecticut,15,90111,"COFFEE, NOT ROASTED, NOT DECAFFEINATED",83.44,117.37,152.34,148.85
Connecticut,16,720241,FERROCHROMIUM OVER 4 PERCENT CARBON,169.07,266.87,120.17,147.88
Connecticut,17,841112,TURBOJETS OF A THRUST EXCEEDING 25 KN,90.47,41.2,47.8,129.55
Connecticut,18,640399,"FOOTWEAR, OUTER SOLE RUB ETC & LEATHER UPPER",236.78,208.62,145.72,122.37
Connecticut,19,841459,"FANS, NESOI",112.84,118.73,121.74,118.41
Connecticut,20,640391,"FOOTWEAR, OUT SOLE RUB ETC & UP LEA NESOI, AN",136.86,177.95,137.39,116.16
Connecticut,21,821210,RAZORS,84.34,117.09,135.16,115.16
Connecticut,22,220421,"WINE, FR GRAPE NESOI & GR MUST W ALC, NOV 2 L",69.4,72.24,73.29,111.19
Connecticut,23,293379,LACTAMS (EXCLUDING 6-HEXANELACTAM) NESOI,24.85,12.29,144.27,99.22
Connecticut,24,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,63.97,76.96,100.09,91
Connecticut,25,300439,HORMONES ETC. (NO ANTIBIOTICS CONTAINED) DOSA,0.53,39.15,80.88,89.36
Delaware,0,0,World,10132.24,10739.04,9234.3,7556.38
Delaware,0,25,Top 25,7367.26,7910.8,7018.3,5593.81
Delaware,1,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,2043.23,2919.14,1808.79,1416.06
Delaware,2,293399,HETEROCYCLIC COMP W NITROGEN HETERO-ATM ONLY,198.76,13.75,142.98,881.08
Delaware,3,300432,MEDICAMENTS CONT CORTEX HORMONES ETC DOSES,525.24,706.86,936.92,671.34
Delaware,4,293499,NUCLEIC ACIDS & SALTS; OTHER HETEROCYCLIC CMP,1099.19,1304.71,1625.77,518.14
Delaware,5,80390,"BANANAS, FRESH OR DRIED, NESOI",444.18,469.37,499.63,510.73
Delaware,6,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",621.01,1106.35,912.48,372.65
Delaware,7,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",147.28,159.76,141.59,222.13
Delaware,8,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,1602.07,496.37,236.59,159.69
Delaware,9,80610,"GRAPES, FRESH",148.59,156.32,123.03,136.76
Delaware,10,80430,"PINEAPPLES, FRESH OR DRIED",68.45,81.16,79.69,99.92
Delaware,11,293339,CMPDS CONT AN UNFUSED PYRIDINE RING ETC NESOI,58.82,71.98,55.81,78.86
Delaware,12,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",0.3,2.51,47.59,61.73
Delaware,13,850710,LEAD-ACID BATTERIES OF A KIND USED FOR STG EN,0.59,8.31,16.1,57.88
Delaware,14,854390,"PT ELEC MACH & APPR W INDIVIDUAL FUNCTIONS, N",2.6,23.21,29.8,55.97
Delaware,15,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",65.5,137.69,122.24,50
Delaware,16,711890,"COIN, NESOI",55.9,28.98,24.3,42.71
Delaware,17,390461,"POLYTETRAFLUOROETHYLENE (PTFE), PR FMS",22.74,25.25,23.73,33.05
Delaware,18,390469,"FLUORO-POLYMERS NESOI, IN PRIMARY FORMS",32.86,37.16,34.04,32.82
Delaware,19,470329,"CHEM WOODPULP, SODA ETC, N DIS S BL & BL NONC",0,0,0,31.41
Delaware,20,391310,"ALGINIC ACID,ITS SALTS AND ESTERS, PR FMS",0.05,0.01,4.7,30.71
Delaware,21,300439,HORMONES ETC. (NO ANTIBIOTICS CONTAINED) DOSA,150.03,63.69,58.75,30.48
Delaware,22,640399,"FOOTWEAR, OUTER SOLE RUB ETC & LEATHER UPPER",29.21,26.18,24.23,26.24
Delaware,23,722550,"FLT-RLD OTH ALLOY STL 600MM OM W, CLD-RLD",7.75,16.66,16.3,25.39
Delaware,24,390690,"ACRYLIC POLYMERS NESOI, IN PRIMARY FORMS",32.72,23.04,24.85,24.3
Delaware,25,290339,ACETYLENE TETRABRMD;ALKL BRMD;METHYLENE DIBRM,10.18,32.34,28.4,23.75
District of Colombia,0,0,World,625.69,1104.97,913.06,486.78
District of Colombia,0,25,Top 25,203.57,373.6,323.75,260.8
District of Colombia,1,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",28.24,171.2,114.83,74.56
District of Colombia,2,970110,"PAINTINGS, DRAWING AND PASTELS BY HAND",19.18,33.55,52.02,17.09
District of Colombia,3,220421,"WINE, FR GRAPE NESOI & GR MUST W ALC, NOV 2 L",20.68,21.08,18.91,16.06
District of Colombia,4,200811,"PEANUTS, PREPARED OR PRESERVED, NESOI",8.44,12.9,14.13,11.54
District of Colombia,5,853720,CONTROLS ETC W ELECT APPR F ELECT CONT OVER 1,1.41,0,0,11.03
District of Colombia,6,902720,CHROMATOGRAPHS AND ELECTROPHORESIS INSTRUMENT,0.04,0,0.02,10.22
District of Colombia,7,30441,"PACIFIC, ATLANTIC, DANUBE SALMON FILLET FRESH",1.99,4.19,6.02,10.02
District of Colombia,8,220830,WHISKIES,9.59,8.44,9.62,9.5
District of Colombia,9,220860,VODKA,17.88,15.39,12.71,9.31
District of Colombia,10,981000,"IMPORTS OF RELIGIOUS, EDUCATION, SCIENT ETC I",4.16,0.58,2.05,9.13
District of Colombia,11,20130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CH",0.64,2.21,7.58,7.72
District of Colombia,12,220820,GRAPE BRANDY,3.14,3.98,5.21,7.7
District of Colombia,13,490199,"PRINTED BOOKS, BROCHURES, ETC., NESOI",6.91,9.44,6.28,7.39
District of Colombia,14,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,10.89,13.07,8.43,6.8
District of Colombia,15,220410,SPARKLING WINE OF FRESH GRAPES,4.41,5.75,6.73,6.28
District of Colombia,16,940340,"WOODEN KITCHEN FURNITURE, EXCEPT SEATS",3.68,2.49,5.71,6.04
District of Colombia,17,30214,ATLANTIC SALMON AND DANUBE SALMON FRESH OR CH,1.91,1.51,2.45,5.7
District of Colombia,18,970300,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATE",40.01,19.15,17.68,5.33
District of Colombia,19,940320,METAL FURNITURE NESOI,1.69,2.43,2.96,5.21
District of Colombia,20,902790,"PTS OF INST, PHYS/CHEM ANALYSIS ETC, NESOI",0.24,0.14,0.21,5.04
District of Colombia,21,761090,"ALUMINUM STRUCTURES AND PARTS, NESOI",5.9,6.12,2.03,4.55
District of Colombia,22,940360,"WOODEN FURNITURE, NESOI",4.82,3.47,3.44,3.74
District of Colombia,23,110220,CORN (MAIZE) FLOUR,4.56,5.46,4.48,3.7
District of Colombia,24,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",1.07,2.24,4.69,3.63
District of Colombia,25,300420,"ANTIBIOTICS NESOI, IN DOSAGE FORM",2.09,28.82,15.57,3.53
Florida,0,0,World,72258.29,71850.13,73409.78,73625.97
Florida,0,25,Top 25,26525.68,24434.44,25081.4,24773.7
Florida,1,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI",5602.15,4334.72,3192.52,3583.58
Florida,2,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,1464.13,1369.8,2853.35,3436.28
Florida,3,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,2986.17,3049.45,2405.65,2325.24
Florida,4,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,4249.14,4613.94,3166.04,1724.95
Florida,5,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,941.84,752.92,1238.86,1412.26
Florida,6,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",730.28,758.64,1251.94,881.94
Florida,7,330300,PERFUMES AND TOILET WATERS,768.06,857.86,835.95,807.37
Florida,8,30441,"PACIFIC, ATLANTIC, DANUBE SALMON FILLET FRESH",656.19,751.18,699.66,786.49
