statename,rank,hs6,abbrevation,val2013,val2014,val2015,val2016
Connecticut,2,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",261.31,269.83,279.43,297.65
Connecticut,3,283620,DISODIUM CARBONATE,130.36,125.81,124.6,141.95
Connecticut,4,841191,TURBOJET AND TURBOPROLLER PARTS,119.44,126.88,115.13,131.05
Connecticut,5,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,109.3,81.72,20.07,125.08
Connecticut,6,902780,PHY CHEM INS/APPR;MEAS VSCSTY & HEAT NESOI,98.01,85.36,111.9,122.09
Connecticut,7,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,77.83,98.28,99.98,109.61
Connecticut,8,901320,"LASERS, OTHER THAN LASER DIODES",81.05,90.47,105.4,88.28
Connecticut,9,902214,"APPTS BASE ON X-RAY, MEDICAL,SURGICAL,VETNRY,",123.36,89.84,77.28,84.07
Connecticut,10,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,89.54,71.32,92.49,81.95
Connecticut,11,841199,GAS TURBINE PARTS NESOI,78.57,117.13,64.36,79.27
Connecticut,12,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",66.92,71.22,79.71,70.04
Connecticut,13,850163,AC GENERATORS (ALTERNATOR) > 375 KVA BUT =< 7,1.62,7.81,33.74,67.75
Connecticut,14,854449,INSULATED ELECTRIC CONDUCTORS =< 80 V NESOI,85.17,91.29,66.29,67.57
Connecticut,15,841182,"GAS TURBINES OF A POWER EXCEEDING 5,000 KW",64.88,65.02,106.92,63.67
Connecticut,16,841221,"HYDRAULIC POWER ENGINES AND MOTORS, LINEAR AC",42.16,31.99,51.16,63.08
Connecticut,17,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,4.55,155.49,105.5,59.15
Connecticut,18,903180,"MEAS & CHECKNG INSTRUMENT, APPLIANCES & MACH",51.41,59.25,55.06,56.94
Connecticut,19,841582,AIR CONDITIONING MACH ETC INCORP REFRIG UNIT,19.24,20.37,39.25,56.9
Connecticut,20,382490,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY,",47.81,59.02,49.84,56.27
Connecticut,21,853890,PT F ELECT APPR F ELECT CIRCT; F ELCT CONTRL,49.11,58.96,63.91,54.45
Connecticut,22,210690,FOOD PREPARATIONS NESOI,37.67,40.42,37.72,51.08
Connecticut,23,903289,"AUTO REGULATING INS & APPR EX THROSTAT,MNSTAT",40.45,37.51,36.59,50.71
Connecticut,24,850110,ELECTRIC MOTORS OF AN OUTPUT NOT EXCEEDING 37,27.69,27.67,36.59,49.42
Connecticut,25,854420,INSULATED COAXIAL CABLE & OTH COAXIAL ELECT C,29.62,25.82,33.92,49.02
Delaware,0,0,World,5327.27,5267.42,5407.85,4532.42
Delaware,0,25,Top 25,3550.93,3689.51,4016.03,3327.44
Delaware,1,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",1225.56,1586.89,1299.81,963.55
Delaware,2,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,328.38,288.86,795.44,587.69
Delaware,3,870431,"MTR VEH TRANS GDS SPK IG IN C P ENG, GVW NOV",19.64,15.86,288.3,206.17
Delaware,4,902780,PHY CHEM INS/APPR;MEAS VSCSTY & HEAT NESOI,235.49,248.23,189.18,191.53
Delaware,5,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",54.94,183.98,139.66,147.16
Delaware,6,80390,"BANANAS, FRESH OR DRIED, NESOI",134.91,146.56,138.01,137.15
Delaware,7,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,132.07,100.62,109.56,119.72
Delaware,8,392690,"ARTICLES OF PLASTICS, NESOI",82.74,86.44,85.22,94.92
Delaware,9,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,376.84,106.09,277.2,94.88
Delaware,10,846691,PARTS FOR MACHINES OF HEADING 8464,96.22,84.81,82.17,94.66
Delaware,11,880212,HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 20,126,0,0,91.29
Delaware,12,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,174.45,316.23,182.05,85.75
Delaware,13,391290,"CELLULOSE & ITS CHEMICAL DERIV, NESOI, PRIMAR",0.15,0.27,4.11,59.12
Delaware,14,842199,FILTER/PURIFY MACHINE & APPARATUS PARTS,40.66,52.28,42.05,56.8
Delaware,15,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F",107,75.69,54.51,54.73
Delaware,16,392099,"PLATES ETC, NONCELL, NT REIN, OF PLASTICS NES",124.44,106,57.37,46.35
Delaware,17,390461,"POLYTETRAFLUOROETHYLENE (PTFE), PR FMS",40.82,35.23,42.71,38.85
Delaware,18,902790,"PTS OF INST, PHYS/CHEM ANALYSIS ETC, NESOI",109.8,106.35,46.68,38.5
Delaware,19,320890,"PAINTS & VARNISHES,IN NONAQUEUS MEDIUM,NESOI",1.08,2.49,26.78,36.8
Delaware,20,300432,MEDICAMENTS CONT CORTEX HORMONES ETC DOSES,8.24,3.37,31.33,33.87
Delaware,21,902720,CHROMATOGRAPHS AND ELECTROPHORESIS INSTRUMENT,59.64,58.87,38.14,32.13
Delaware,22,870899,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESO",7.83,15.92,30.47,29.69
Delaware,23,340399,"LUBRICATING PREPS NOT CONT PETROLEUM OILS, NE",4.7,5.58,10.39,29.01
Delaware,24,340590,"POLISHES AND CREAMS ETC, NESOI",30.69,35.15,26.03,28.72
Delaware,25,271311,"PETROLEUM COKE, NOT CALCINED",28.63,27.74,18.85,28.36
District of Colombia,0,0,World,2707.7,940.23,1088.08,1330.67
District of Colombia,0,25,Top 25,1517.19,573.66,880.2,1194.28
District of Colombia,1,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,806.14,221.87,66,320.79
District of Colombia,2,854390,"PT ELEC MACH & APPR W INDIVIDUAL FUNCTIONS, N",317.8,42.02,359.78,307.32
District of Colombia,3,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",192.45,166.2,136.56,176.43
District of Colombia,4,880212,HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 20,25,1.64,155.54,110.68
District of Colombia,5,871000,"TANK & OT ARMORED FIGHT VEH, MOTORIZED; AND P",3.68,16.14,12.45,90.24
District of Colombia,6,870490,"TRUCKS, NESOI",24.38,0.06,1.6,34.66
District of Colombia,7,284420,URANIUM ENRICHED IN U235 ETC. PLUTONIUM ETC.,0,18.18,7.61,28.69
District of Colombia,8,930120,"RKT LAUNCH.,FLAMTHROW, & SIM. PROJECTORS(MILI",74.57,0.03,32.89,21.35
District of Colombia,9,980320,"EXPORTS OF MILITARY EQUIPMENT, NOT IDENTIFIED",11.75,30.49,29.19,20.32
District of Colombia,10,970110,"PAINTINGS, DRAWING AND PASTELS BY HAND",5.05,12.67,5.99,13.64
District of Colombia,11,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",31.98,35.69,31.57,11.58
District of Colombia,12,890610,"WARSHIPS (INCLUDING SUBMARINES, TROOPSHIPS ET",0,0,0,10.21
District of Colombia,13,854370,"ELEC MACH AND APP, HAVING INDIV FUNCTIONS, NE",5.59,2.41,2,6.84
District of Colombia,14,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,7.69,5.44,8.34,5.95
District of Colombia,15,852990,"PTS,EX ANTENNA,FOR TRNSMSSN,RDR,RADIO,TV,ETC",0.45,2.83,5.59,5.1
District of Colombia,16,903090,PTS OF INST F MEAS ELECT QUAT ALPHA BETA INZN,0.49,0.51,0.62,4.83
District of Colombia,17,850680,"PRIMARY CELLS AND BATTERIES, N.E.S.O.I.",0.03,0.03,0.23,4.49
District of Colombia,18,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,0.56,9.64,2.65,2.91
District of Colombia,19,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",0.01,1.26,3.66,2.89
District of Colombia,20,890690,"VESSELS,(INCLUD LIFEBOATS,OTHER THAN ROW BT),",0.57,0.05,5.33,2.86
District of Colombia,21,930190,"MILITARY WEAPONS,OTH THN REVOL,PIST,&HD 9307,",1.08,1.66,1.38,2.75
District of Colombia,22,490199,"PRINTED BOOKS, BROCHURES, ETC., NESOI",1.87,1.96,1.68,2.63
District of Colombia,23,930630,"CARTRIDGES AND PARTS THEREOF, NESOI",2.32,0.68,8.93,2.56
District of Colombia,24,980310,EXPORTS OF MILITARY WEARING APPAREL OF ALL TY,1.65,1.57,0.53,2.47
District of Colombia,25,490290,"NEWSPAPERS, ETC APPEARING LESS THAN 4 TIMES P",2.08,0.64,0.09,2.1
Florida,0,0,World,60482.24,58438.83,53899.59,52049.37
Florida,0,25,Top 25,25367.6,23539.73,20977.9,21061.99
Florida,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",4769.11,4797.87,4746.11,5419.87
Florida,2,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,2933.95,2923.18,2486.71,2484.9
Florida,3,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI",4908.15,3282.06,1736.22,1803.33
Florida,4,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,1002.74,971.92,953.96,947.99
Florida,5,711319,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS ME",244.87,263.87,509.09,823.19
Florida,6,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,1161.63,993.07,761.97,801.34
Florida,7,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1272.25,920.69,692.49,769.93
Florida,8,310540,AMMONIUM DIHYDROGENORTHOPHOSPHATE,567.43,737.75,788.9,685.93
Florida,9,841199,GAS TURBINE PARTS NESOI,510.1,532.78,579.97,685.79
Florida,10,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,771.89,676.33,610.71,640.56
